name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	5400	5400	0	0	0	-1	150	150	-1	11	11	-1	25	25	-1	30	30	-1	130	130	-1	t < 800 ms	5400	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	246	246	-1
Home (anon)	200	200	0	60	60	-1	120	120	-1	65	65	-1	7	7	-1	80	80	-1	90	90	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Home (anon) / Home	200	200	0	0	0	-1	20	20	-1	10	10	-1	2	2	-1	10	10	-1	20	20	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Home (anon) / JS: vendor/jquery.js	200	200	0	0	0	-1	30	30	-1	1	1	-1	4	4	-1	10	10	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Home (anon) / JS: liftAjax	200	200	0	0	0	-1	20	20	-1	5	5	-1	5	5	-1	10	10	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Home (anon) / JS: application.js	200	200	0	0	0	-1	10	10	-1	0	0	-1	2	2	-1	0	0	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Home (anon) / JS: vendor/bootstrap.js	200	200	0	0	0	-1	10	10	-1	1	1	-1	2	2	-1	10	10	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Login	200	200	0	390	390	-1	490	490	-1	406	406	-1	19	19	-1	440	440	-1	450	450	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Login / Login GET	200	200	0	0	0	-1	20	20	-1	2	2	-1	4	4	-1	10	10	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Login / JS: liftAjax	400	400	0	0	0	-1	30	30	-1	4	4	-1	5	5	-1	10	10	-1	10	10	-1	t < 800 ms	400	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	18	18	-1
Login / Login POST	200	200	0	120	120	-1	150	150	-1	130	130	-1	5	5	-1	130	130	-1	140	140	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Login / Home	200	200	0	10	10	-1	40	40	-1	13	13	-1	4	4	-1	20	20	-1	30	30	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Project Overview	400	400	0	10	10	-1	80	80	-1	38	38	-1	22	22	-1	70	70	-1	80	80	-1	t < 800 ms	400	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	18	18	-1
Project Overview / Project: j8NA940XXv9	400	400	0	10	10	-1	40	40	-1	11	11	-1	4	4	-1	20	20	-1	20	20	-1	t < 800 ms	400	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	18	18	-1
Project Overview / JS: zeroclipboard.js	200	200	0	0	0	-1	20	20	-1	1	1	-1	3	3	-1	10	10	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Project Overview / JS: liftAjax	400	400	0	0	0	-1	20	20	-1	4	4	-1	5	5	-1	10	10	-1	20	20	-1	t < 800 ms	400	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	18	18	-1
Project Overview / JS: project.js	200	200	0	0	0	-1	10	10	-1	1	1	-1	2	2	-1	10	10	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
UseCase Editor	400	400	0	20	20	-1	120	120	-1	52	52	-1	35	35	-1	110	110	-1	120	120	-1	t < 800 ms	400	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	18	18	-1
UseCase Editor / UCE: 2PbB1awttl1	200	200	0	20	20	-1	50	50	-1	31	31	-1	4	4	-1	40	40	-1	40	40	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
UseCase Editor / JS: liftAjax	400	400	0	0	0	-1	30	30	-1	3	3	-1	5	5	-1	10	10	-1	10	10	-1	t < 800 ms	400	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	18	18	-1
UseCase Editor / JS: uce.js	200	200	0	0	0	-1	10	10	-1	1	1	-1	3	3	-1	10	10	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
UseCase Editor / UCE: 2PbB10XLd8j	200	200	0	20	20	-1	40	40	-1	23	23	-1	5	5	-1	30	30	-1	40	40	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Read UCs	200	200	0	100	100	-1	180	180	-1	116	116	-1	18	18	-1	160	160	-1	160	160	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Read UCs / Read UCs: j8NA940XXv9	200	200	0	10	10	-1	40	40	-1	22	22	-1	4	4	-1	30	30	-1	40	40	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Read UCs / JS: publish.js	200	200	0	0	0	-1	10	10	-1	1	1	-1	3	3	-1	10	10	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Read UCs / JS: liftAjax	200	200	0	0	0	-1	20	20	-1	4	4	-1	6	6	-1	10	10	-1	20	20	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Read UCs / JS: vendor/mathjax/MathJax.js	200	200	0	0	0	-1	10	10	-1	0	0	-1	2	2	-1	0	0	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Read UCs / JS: vendor/mathjax/config/default.js	200	200	0	0	0	-1	20	20	-1	6	6	-1	5	5	-1	10	10	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Logout	200	200	0	0	0	-1	20	20	-1	6	6	-1	5	5	-1	10	10	-1	20	20	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
